Gato, 0, 1, 2, 1, 1, 1, 0
Perro grande, 1, 1, 3, 1, 2, 1, 1
Loro, 0, 0, 1, 1, 1, 0, 0 
Perico, 0, 0, 1, 1, 1, 0, 0 
Canarios, 0, 0, 1, 1, 1, 1, 0 
Perro mediano, 1, 1, 3, 1, 1, 1, 1 
Perro pequeño, 1, 1, 2, 1, 1, 1, 1 
Pez, 0, 0, 1, 1, 0, 0, 0 
Tortuga, 0, 0, 1, 1, 0, 0, 0 
Cotorras, 0, 0, 1, 1, 1, 0, 0 
Agapornis, 0, 0, 1, 0, 1, 0, 0 
Tarantula, 0, 1, 1, 0, 1, 0, 0 
Serpiente, 1, 0, 2, 0, 1, 0, 0 
Hamster, 0, 1, 1, 0, 2, 0, 0 
Lagartos, 2, 0, 2, 0, 1, 0, 0 
Mini piggies, 1, 0, 2, 1, 2, 1, 1 
Ratones, 0, 0, 1, 0, 0, 0, 0 
Cuyos, 0, 0, 2, 1, 0, 0, 0 
Conejos, 0, 0, 2, 0, 2, 0, 0 
Pollos, 0, 0, 1, 0, 1, 1, 1 
Lagartijas, 0, 0, 1, 1, 0, 0, 0 
Urones, 1, 0, 1, 0, 2, 0, 1 
